Reference,Value,Footprint,Datasheet,Description,Manufacturer_Part_Number,Prices,Suppliers,Qty
C1,10uf,Capacitor_SMD:C_0402_1005Metric,https://datasheet.lcsc.com/lcsc/2208231630_Samsung-Electro-Mechanics-CL05A106MQ5NUNC_C15525.pdf,6.3V 10.uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C15525,$0.0056,JLCPCB Parts,1
C2,10uf,Capacitor_SMD:C_0402_1005Metric,https://datasheet.lcsc.com/lcsc/2208231630_Samsung-Electro-Mechanics-CL05A106MQ5NUNC_C15525.pdf,6.3V 10.uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C15525,$0.0056,JLCPCB Parts,1
C3,10uf,Capacitor_SMD:C_0402_1005Metric,https://datasheet.lcsc.com/lcsc/2208231630_Samsung-Electro-Mechanics-CL05A106MQ5NUNC_C15525.pdf,6.3V 10.uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C15525,$0.0056,JLCPCB Parts,1
C4,10uf,Capacitor_SMD:C_0402_1005Metric,https://datasheet.lcsc.com/lcsc/1810191211_Samsung-Electro-Mechanics-CL05A475MP5NRNC_C23733.pdf,10V 4.7uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C23733,$0.0060,JLCPCB Parts,1
C5,10uf,Capacitor_SMD:C_0402_1005Metric,https://datasheet.lcsc.com/lcsc/1810191211_Samsung-Electro-Mechanics-CL05A475MP5NRNC_C23733.pdf,10V 4.7uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C23733,$0.0060,JLCPCB Parts,1
D1,Red LED,LED_SMD:LED_0805_2012Metric,https://datasheet.lcsc.com/lcsc/2008201032_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256.pdf,Red 0805 Light Emitting Diodes (LED) ROHS,C84256,$0.0113,JLCPCB Parts,1
D3,Green LED,Diode_SMD:D_0805_2012Metric,https://nw.jlcerp.com/overseas-manage/pdfjs/web/viewer.html?file=%2Foverseas-manage%2Femail%2FdownloadByFileNo%3FfileNo%3D94529e18c5284a3081d8a14987ad6aeb%26type%3D1,0805 white （300-360mcd) Light Emitting Diodes (LED) ROHS,C34499 ,$0.0159,JLCPCB Parts,1
IC1, battery protection IC  DW01A-G,SOT95P280X135-6N,http://acoptex.com/uploads/DW01A.pdf,One Cell Lithium-ion/Polymer Battery Protection IC,C61503,$0.1500,JLCPCB Parts,1
J1,USB_B_Micro,Connector_USB:USB_Micro-B_Amphenol_10118194_Horizontal,~,,,$0.5924,JLCPCB Parts,1
J2,Conn_01x02_Pin,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,https://datasheet.lcsc.com/lcsc/2207291800_ZHOURI-2-54-1-2_C5116481.pdf,"Plugin,P=2.54mm Pin Headers ROHS",C5116481,$0.0206,JLCPCB Parts,1
J3,Conn_01x02_Pin,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,https://datasheet.lcsc.com/lcsc/2207291800_ZHOURI-2-54-1-2_C5116481.pdf,"Plugin,P=2.54mm Pin Headers ROHS",C5116481,$0.0206,JLCPCB Parts,1
J3_Battery1,Conn_01x02,Connector_Pin:Pin_D1.1mm_L10.2mm_W3.5mm_Flat,~,,,$0.3213,JLCPCB Parts,1
J4,Conn_01x02_Pin,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,https://datasheet.lcsc.com/lcsc/2207291800_ZHOURI-2-54-1-2_C5116481.pdf,"Plugin,P=2.54mm Pin Headers ROHS",C5116481,$0.0206,JLCPCB Parts,1
J5,Conn_01x02_Pin,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,https://datasheet.lcsc.com/lcsc/2207291800_ZHOURI-2-54-1-2_C5116481.pdf,"Plugin,P=2.54mm Pin Headers ROHS",C5116481,$0.0206,JLCPCB Parts,1
