Designator,Mid X,Mid Y,Rotation,Layer
BT1,157.0,-64.0,0.0,top
C1,122.192,-97.905,180.0,top
C10,180.0,-95.0,90.0,top
C2,131.312,-99.215,0.0,top
C3,131.312,-101.185,0.0,top
C4,131.312,-103.155,0.0,top
C5,197.1,-147.0,0.0,top
C6,130.712,-106.425,90.0,top
D1,126.0,-98.0,0.0,top
D2,119.0625,-116.0,0.0,top
IC1,116.712,-93.905,0.0,top
J1,112.7,-130.9,90.0,top
J12,155.27,-119.51,90.0,top
J13,161.77,-119.51,90.0,top
J19,178.0,-104.0,0.0,top
J2,152.0,-82.54,180.0,top
J3,124.712,-102.905,0.0,top
J4,133.0,-86.46,0.0,top
J5,123.0,-85.46,0.0,top
J6,137.0,-106.46,0.0,top
J7,128.0,-86.0,0.0,top
J9,156.6,-118.02,270.0,top
Q1,124.712,-93.905,0.0,top
R1,121.632,-109.905,0.0,top
R10,169.825,-96.0,0.0,top
R11,171.0,-90.0,0.0,top
R2,131.0,-92.0,0.0,top
R3,113.712,-97.905,0.0,top
R4,113.712,-101.955,0.0,top
R5,113.712,-106.005,0.0,top
R6,113.712,-110.055,0.0,top
R7,192.62,-142.19,0.0,top
R8,192.62,-145.14,0.0,top
R9,171.0,-100.0,0.0,top
SW1,137.5,-119.0,0.0,top
U1,135.0,-100.0,180.0,top
U2,198.55,-142.06,0.0,top
U3,118.81,-132.16,0.0,top
U4,174.0,-95.0,0.0,top
U5,205.95,-148.0,0.0,top
